ツイートID,ツイート時刻,ツイート内容,いいね数,リツイート数,ID,ユーザID,アカウント名,自己紹介文,フォロー数,フォロワー数,アカウント作成日時,自分がフォローしているか？,アイコン画像URL,ヘッダー画像URL,WEBサイト
1546349348627398656,2022-07-11_13:23:09,デロイト トーマツ、業績連動報酬へのESG要素反映に関する日・英・米比較結果を公開 https://t.co/NMBv27G5CC https://t.co/TbznFI100P,0,0,2855893662,colour_ishizaki,ishizaki,"自由に楽しく生きていく！
よろしくお願いします♪

#相互フォロー #相互100 #相互 #フォロー",368,135,2014-10-15_05:29:41,False,http://pbs.twimg.com/profile_images/816555514448359424/hfABVnE3_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1546348232015761409,2022-07-11_13:18:42,"ESGは脱炭素から自然へ　企業は新たな要求に備えを：日本経済新聞 https://t.co/TH7u6oBcXe #日経会社情報 各社の経営方針などを加味し、実際の業務と照らし合わせ、
中長期でどう取り組むかの計画することが大切だと思いました。",0,0,1458414577671356417,iZ9GJ09XgzXOXIE,寺光亮祐,リユースと顧客関係管理のトピックスを中心に各SNSにて発信中,130,34,2021-11-10_21:42:10,False,http://pbs.twimg.com/profile_images/1458414680591179777/I_OVWaWi_normal.png,,https://t.co/SIM9V34b00
1546346222952521729,2022-07-11_13:10:43,"中電の電源はほぼ天然ガスでソーラーはごく僅かでした。

esgからは遠かったね😰😰 https://t.co/GaMd82MC7J",1,0,98576968,ekiriko,7Gのオペレーター@現場はブラックぽい 盆休みは能登かも？,水泳と自転車、キャンプがしゅみ 乗り物VFR400R、VT SPADA改 大型も良いな 大阪市西成の近く→文京区→府中市→愛知県尾張地方,411,232,2009-12-22_16:22:44,False,http://pbs.twimg.com/profile_images/1684667796/11746kiriko_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1546346110637092865,2022-07-11_13:10:17,"RT @Sankei_news: 【正論】日本再建に尽くした安倍元首相
評論家・江崎道朗 https://t.co/wnHDOPGk7W

退陣後も、伝統に基づく皇室制度の再建、北朝鮮の拉致問題、憲法改正といった課題に精力的に取り組み、国政を牽引していた。これらの課題解決の動き…",0,367,800914945663565828,toshibo_esg,Toshi としぼー Horii,"""口のきけない人のために、口を開きなさい。すべての不幸な人の訴えのために。 口を開いて、正しくさばき、苦しむ人や貧しい人のためにさばきを行いなさい。"" 箴言31章8～9節 Proverbs 31:8-9
#ProLife #ProFamily #AdoptionNOTabortion #Freedom #日本大好き",1409,80,2016-11-22_13:12:58,False,http://pbs.twimg.com/profile_images/800918333767856128/6BkuK-RY_normal.jpg,,https://t.co/YEhfXGZqQI
1546345570972868611,2022-07-11_13:08:08,デロイト トーマツ、業績連動報酬へのESG要素反映に関する日・英・米比較結果を公開 https://t.co/Xe9pJwuPZ5,0,0,310197074,digitalpr_jp,デジタルPRプラットフォーム,ニュースより早く公式情報をリアルタイムにお届け！　1500以上のリーディングカンパニー・大学が利用するDigital PR Platformからプレスリリース情報を発信しています。,7946,12264,2011-06-03_19:35:38,False,http://pbs.twimg.com/profile_images/756300496554582016/XycaiDuK_normal.png,http://abs.twimg.com/images/themes/theme1/bg.png,http://t.co/v9ZnlRQM4A
1546344633730420738,2022-07-11_13:04:25,@hirox246 投資家や資本家は、デューディリジェンス、RD投資、ESG投資、エンジェル投資、外部性を気にすることもないし、自己顕示欲で国民は馬鹿のプライステイカー総馬鹿。M&amp;Aはヒューマンキャピタルうんこ、特許があってもした… https://t.co/JfLsuPSke1,0,0,1532281699798614017,4B2XFHhJSJG9tfd,衣更学,ご飯と友達(自分が自分でいられる)を下さい。僕の努力でどうにもなりません。,8,0,2022-06-02_17:43:31,False,http://pbs.twimg.com/profile_images/1533416432423186432/rlbIP1RY_normal.jpg,,
1546344392310476801,2022-07-11_13:03:27,ESGがYouTube上げてくれること期待しよ,0,0,997465859617574914,Leeeeomadock,まどっく,人間が使えないスマブラー ブービーな犬使い 旅行とスノボとライブの人 ヘッダーは@suijyakusyaさん,255,186,2018-05-18_22:16:07,False,http://pbs.twimg.com/profile_images/1348100306660298755/5Kol-Hau_normal.jpg,,
1546343645061709824,2022-07-11_13:00:29,"【アメリカ】Symbrosia、シリーズAで約9.5億円調達。ダノン傘下CVC主導。家畜メタン削減飼料
https://t.co/hX00LWaIz3 #ESG #Sustainability #SDGs",3,0,2166373754,SustainableJPN,SustainableJapan,サステナビリティ/ESGニュースサイトSustainable Japan公式。編集長・夫馬賢治@KenjiFuma（環境省、厚労省、農水省の委員）『超入門カーボンニュートラル』https://t.co/0KARQaoWnD『ESG思考』https://t.co/fdP3hhANdc『データでわかる2030年地球のすがた』https://t.co/b3tvTAUK5k,41,5091,2013-10-31_18:56:09,False,http://pbs.twimg.com/profile_images/488587881301024768/ulMuq1n2_normal.png,http://abs.twimg.com/images/themes/theme3/bg.gif,https://t.co/9l1G7ZouxP
1546343522910973953,2022-07-11_13:00:00,"【ESG】ESGは脱炭素から自然へ　企業は新たな要求に備えを（日本経済新聞電子版　7/10配信） #企業危機管理 #ESG #脱炭素 #自然 

https://t.co/Bk3TCw3e7u",0,0,820889796260155392,SP_Network_jp,株式会社エス・ピー・ネットワーク,#企業危機管理 の専門会社、エス・ピー・ネットワークの公式アカウントです。危機管理に関するさまざまな情報をタイムリーにお届けいたします。（※各種の返信・フォローは行いません）,0,255,2017-01-16_16:05:53,False,http://pbs.twimg.com/profile_images/940059737294479360/K3dJ9XAh_normal.jpg,,https://t.co/cFDR8YSqVQ
1546342390868623360,2022-07-11_12:55:30,"ESG投資とは、環境問題(Environment)・社会課題(Social)・企業統治(Governance)を判断材料に反映した投資法です。

ESG投資をすることで、自分の活動範囲を超えてサスティナブル企業を応援でき、また長期… https://t.co/EsYiPS13Uk",1,0,1329637142016917505,awake_and_jp,AWAKE&【公式】,"エシカルライフスタイルを学ぶ実践型オンラインスクール🎓月額3,300円(別途入会金)の動画視聴型サービス💻 #エシカル #SDGs #気候変動 #ソーシャルビジネス #スローライフ #アニマルライツ #ESG投資 #プラントベース #LGBT #エンパシー #食品ロス #経済 #ホリスティックヘルス",1983,507,2020-11-20_13:06:47,False,http://pbs.twimg.com/profile_images/1342890672219688960/5Zix2z-q_normal.jpg,,https://t.co/6lLXJvSnu2
1546341483946467333,2022-07-11_12:51:54,"#ESG は、本当に、フィリピン国民の役に立つのでしょうか?

私の過去の経験では #フィリピン では キレイな言葉が羅列された場合は、真に皆んなのための社会的利得は少なかったとおもえるのです。
特に環境問題分野では。 https://t.co/DBXdVOesyz",1,0,1499194600615194626,Swairl_ninja,Swail_Twirl_Whirl 🇵🇭,This world is a Swairl.,49,21,2022-03-03_10:27:42,False,http://pbs.twimg.com/profile_images/1499201938717491205/zdqSwjwC_normal.jpg,,
1546341247698321408,2022-07-11_12:50:57,"今食べてるランチは世界の誰かが食べれないもの。
その全てに、ほんの少し寄付が入っていたら世界の飢餓を救う事が出来る大きな支援の力になります。私たちの楽しい #ランチ が世界の悲しみを救う社会を創りませんか？協賛頂ける飲食店を募集しています #ESG #SDGs #教育",3,0,1324231296978087936,pay_for_world,Pay for World,私達の楽しみが世界の悲しみを救う事に繋がる🌱そんな社会を作るための活動しています。私達が日常の中で楽しいと思っている物・事・サービスに僅かな寄付が入っていたら世界を救う持続可能な支援の波を作り出せます🌏楽しく生きる事が支援になる社会を作ります。#SDGs #CSR,1366,934,2020-11-05_15:05:30,False,http://pbs.twimg.com/profile_images/1332263460936114177/8F8ZuuPZ_normal.jpg,,https://t.co/ajJt1Siyuj
1546335976666320896,2022-07-11_12:30:01,"『ESG A to Z』
#radiko で配信中(1週間後までお聴きいただけます)
#radionikkei #シェアラジオ 

https://t.co/H4SDYL35nS",0,0,786156540629614592,radionikkei_tf,ラジオNIKKEI タイムフリーInfo,ラジオNIKKEIのタイムフリー関連情報をご案内します。radiko.jpのタイムフリーで番組を聴いて、#シェアラジオ でみんなと共有しましょう！,0,287,2016-10-12_19:48:20,False,http://pbs.twimg.com/profile_images/787998013595660292/ZYgVtkZh_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/KMlq8lHaQ6
1546334797374443521,2022-07-11_12:25:19,"医療レシピで4連求神中…
何が出るかな、何が出るかなっ♪

#jobtribes #DEAPCoin #playmining #PlayAndEarn #ESG https://t.co/R9KX1vKgU0",13,0,797330004149272576,Writer_CanYou,きゃんゆー@LCA Game Guild ブロックチェーンゲームで食っていく,会社員兼Webライター兼ブロックチェーンゲーマー 普段は某IT企業の経営に関する仕事をしていますが、それとは別にWebライターもやってます。 あと、ブロックチェーンゲームのAxieInfinityプレイヤー兼マネージャー、jobtribesプレイヤー、最近STEPNはじめました。GameFiで目指せ、fire！,609,608,2016-11-12_15:47:41,False,http://pbs.twimg.com/profile_images/1537361144108568576/01ZyQxRH_normal.jpg,,
1546334093423558656,2022-07-11_12:22:32,"RT @SustainableJPN: 【日本】花王とカインズ、製品包装材での折りたたみコンテナ実証で協働。包材廃棄・開封作業負担削減
https://t.co/W6UfksB8Xt #ESG #Sustainability #SDGs",0,2,1295697200471633925,SDGsCoLab,SDGs Co:Lab,Global policy and action lab of @weincludedorg for supporting & cultivating next-gen leaders to solve world challenges @forglobalgoals by co-creation!,3,6993,2020-08-18_21:21:13,False,http://pbs.twimg.com/profile_images/1295698183813644289/rmF5EabR_normal.jpg,,
1546333191086243842,2022-07-11_12:18:56,"RT @SustainableJPN: 【日本】花王とカインズ、製品包装材での折りたたみコンテナ実証で協働。包材廃棄・開封作業負担削減
https://t.co/W6UfksB8Xt #ESG #Sustainability #SDGs",0,2,1090150145218424832,weincludedorg,"We, included.","Environment • Society • Economy | Together, we're Reimagining Leadership! Join our #weincluded movement for @theglobalgoals | eMail: hello@weincluded.org",3,5773,2019-01-29_16:30:23,False,http://pbs.twimg.com/profile_images/1311939271427645440/AnDv2GZA_normal.jpg,,https://t.co/obPsymTAhv
1546333049599807489,2022-07-11_12:18:23,"【日本】花王とカインズ、製品包装材での折りたたみコンテナ実証で協働。包材廃棄・開封作業負担削減
https://t.co/W6UfksB8Xt #ESG #Sustainability #SDGs",2,2,2166373754,SustainableJPN,SustainableJapan,サステナビリティ/ESGニュースサイトSustainable Japan公式。編集長・夫馬賢治@KenjiFuma（環境省、厚労省、農水省の委員）『超入門カーボンニュートラル』https://t.co/0KARQaoWnD『ESG思考』https://t.co/fdP3hhANdc『データでわかる2030年地球のすがた』https://t.co/b3tvTAUK5k,41,5091,2013-10-31_18:56:09,False,http://pbs.twimg.com/profile_images/488587881301024768/ulMuq1n2_normal.png,http://abs.twimg.com/images/themes/theme3/bg.gif,https://t.co/9l1G7ZouxP
1546331742851977219,2022-07-11_12:13:11,独自評価!｢SDGs企業ランキング｣トップ500社 ESG＋Hの非財務情報から評価､トップはオムロン | 特集 - 東洋経済オンライン https://t.co/4X9JFwUN3U #東洋経済オンライン @Toyokeizaiより,0,0,153695131,kumagai_777,クマガイ N.K,"本業は小さなデザイン屋＆貸し店舗の大家さんしてます。 
その傍ら日本マーケットのトレーダーもやってる個人投資家です。
スィングがメインですがデイも少しやります。
「勝つことより負けないこと」をモットーに！
呟きの八割は日々のニュース・投資・トレード関連。
アニメ＆映画好きなオヤジです。",1823,2163,2010-06-09_15:15:03,False,http://pbs.twimg.com/profile_images/1375285173521055745/IIGpaTGn_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/BtuRMaSrvl
1546331222569144320,2022-07-11_12:11:07,宝&amp;COの22年5月期、純利益37%増　ESG開示が追い風: 日本経済新聞 https://t.co/xJdx43nBqg,0,0,1509718358224035840,TakaraCompany,TAKARA＆COMPANY【公式】,"「宝印刷」や「サイマル・インターナショナル」を傘下に持つ持株会社です。法定開示書類の作成・印刷から、IR（投資家向け広報）、IPO（新規上場）、通訳、翻訳等を一気通貫でサポート。最新のIR情報やESGコラム、広報IR担当の小話等をツイートします。
【お問い合わせ】https://t.co/xbRZBxuh9Z",30,42,2022-04-01_11:26:08,False,http://pbs.twimg.com/profile_images/1536895357941972992/qJ_LMIOw_normal.jpg,,https://t.co/Ll9N6BB6ye
1546330366201692162,2022-07-11_12:07:43,"RT @zakiocpa: A.
・相手先ブランドでの製品生産を請け負う企業：OEM
・エレクトロニクス製品の生産を請け負う企業：EMS
・相手先ブランドでの製品製造に加えて製品の開発・設計まで行う企業：ODM
アルファベット3文字系は色々あるので気をつけて覚えていきましょう。…",0,1,1231130234449084416,cpaaca_kansai,り,法曹コース(修了)＆TAC会計士1.5s21目標 簿記２級取得💮(88点)強制5→8世代 R3.5月短答式合格💮(72.4%)→論文式🙅‍♂️→22年論文 大学3年,165,154,2020-02-22_17:17:22,False,http://pbs.twimg.com/profile_images/1415935769064079362/-8DTy5p4_normal.jpg,,https://t.co/UbKMPPzxIV
1546329499050328064,2022-07-11_12:04:16,独自集計!こんなに違うSDGs17目標の取り組み度 気候変動の対応率8割超えも､貧困･飢餓支援低迷 | SDGs・ESG - 東洋経済オンライン https://t.co/P55bdnZD2G #東洋経済オンライン via @Toyokeizai,0,0,53514131,KoichiShimomura,SHIMO,I consider the possibility of ICT in the future as a technologist with experience of the manufacturing and aim at the second establishment of a business.,3532,3488,2009-07-04_07:10:27,False,http://pbs.twimg.com/profile_images/412579183/ITAL6040_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,http://t.co/RJb5tQflx4
1546328956000841730,2022-07-11_12:02:07,"【参加者募集！】日本で唯一の森林・林業特化した事業開発プログラム。林業の課題を解決し、森林資源の最大化を目指す。今年度は初となるインキュベーション部門とアクセラレーター部門の2本立て。締め切りは8月14日。

#ESG #脱炭素… https://t.co/dWKEuER85S",0,0,1252761960053006336,SperoCo,Spero,ソーシャルインキュベーター・新規事業伴走支援のSperoの公式twitter/社会命題をテーマにしたインキュベーションプログラム・各種新規事業を支援,2,10,2020-04-22_09:52:00,False,http://pbs.twimg.com/profile_images/1252762181080211456/8sitggyo_normal.jpg,,https://t.co/iP7ouEkbAL
1546328691499737089,2022-07-11_12:01:04,"【参加者募集！】日本で唯一の森林・林業特化した事業開発プログラム。林業の課題を解決し、森林資源の最大化を目指す。今年度は初となるインキュベーション部門とアクセラレーター部門の2本立て。締め切りは8月14日。

#ESG #脱炭素… https://t.co/9AFKSv8CX3",0,0,1161620337970184192,ActionSfa,SUSTAINABLE FOREST ACTION(SFA),"日本唯一の森林・林業特化型アクセラレーター、インキュベーションプログラム。林業の課題解決とカーボンニュートラル2050に向けて、森林資源の最大化を目指す。森林分野の新事業を立ち上げたい参加者を募集。
森林生態学研究室にいる大学院生が森林や林業に関するニュースを発信しています！質問やコメントお待ちしています！",644,594,2019-08-14_21:47:25,False,http://pbs.twimg.com/profile_images/1161621470776135680/lg8PnHv__normal.png,,https://t.co/xXOsgLkta1
1546328425673236480,2022-07-11_12:00:00,"グローバル・コンパクトとは、責任ある創造的なリーダーシップを発揮することで、社会の一員として持続可能な成長を実現する。
#ESG経営 #情報開示 #SDGs 

https://t.co/OUPmVRovOx",0,0,132493891,NikkeiESG,日経ESG,"日経BP社が発行する、持続可能な成長を続けるための経営誌「日経ESG」です
""Nikkei ESG"" is the magazine for sustainable deveropment.
Nikkei Business Publications Inc. (Nikkei BP)
#SDGs #ESG",1548,2156,2010-04-13_20:35:57,False,http://pbs.twimg.com/profile_images/984036291107893249/LNKEdqVr_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/0Y08HnFFhG
1546328423357747203,2022-07-11_12:00:00,"【知っておきたいESG・SDGsワード】
「TNFD」
気候変動の財務リスクの開示を企業に求める国際プロジェクト。
詳しくは以下をチェック！✅
👉https://t.co/qTwWQI228H
#日経SDGs  #日経… https://t.co/dsLmAUP8R0",0,0,1509838597079597058,nikkei_sdgs,日経SDGsフェス公式,"日本経済新聞社、日経BPグループが共同で運営している「日経SDGsフェス」公式アカウントです🌈
#日経SDGsフェス #日経 #nikkei のハッシュタグを付けて、是非あなた自身の取り組みや興味のあるSDGs関連情報をお寄せください✋
持続可能な開発目標＝SDGsの支援を、もっと身近に✨🌏",61,167,2022-04-01_19:22:42,False,http://pbs.twimg.com/profile_images/1509838736422731777/hc3YnxWa_normal.jpg,,https://t.co/v6RUE7HPUy
1546327543837442048,2022-07-11_11:56:30,RT @keyplayers: 悔しい...こんな評価なのか！現在チャットでキャリア相談、年収査定行っています！Web3、SaaS、ESG、年収アップ、起業、フリーランスに向けての作戦会議、無料年収査定、キャリア相談をチャットやオンラインで行っております。「転職後活躍」社会貢献…,0,10,28543412,keyplayers,高野秀敏/ベンチャー転職/エンジェル投資家/キープレイヤーズ,スタートアップ、ベンチャー転職キープレイヤーズ/ https://t.co/32r0dj2kZp 代表|人生とお仕事のお役に立つ情報発信|社外取締役や顧問、投資先55社以上|クラウドワークス、メドレー創業役員株主で上場 5回上場|東北大学→インテリジェンス→起業| 渋谷barオーナー|サウナ|転職 採用M&Aご相談はお気軽DM,5293,47529,2009-04-03_20:27:43,False,http://pbs.twimg.com/profile_images/1188041287204630528/AGnSItAH_normal.jpg,http://abs.twimg.com/images/themes/theme4/bg.gif,https://t.co/r0PczM1Ig8
1546321682012729344,2022-07-11_11:33:12,日本の労働生産性低下の原因と改善策への意識を探る独自調査を実施 https://t.co/2id3OryCx9 #付加価値向上 #労働生産性 #アフターコロナ #ポストコロナ #生産性 #生産性向上 #ステークホルダー #ESG #SDGs,0,0,1012226151844999168,sutekinamiraie,素敵な未来へ,『取材力』を武器に、そのファクトの本質は、何か？核心を伝えるべく、幅広く活動を展開。現在、合計7社の記者・クリエイターとして活動中。執筆記事はスマートニュース・ヤフーニュース・ニフティ・モデルプレス等に絶賛掲載中。最も多く読まれたnote 3週連続認定。最も多く読まれたnote月間賞も受賞。ニュースコーディネーター,202,1260,2018-06-28_15:48:15,False,http://pbs.twimg.com/profile_images/1412981930945957895/Tb3u0jwD_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/djjgGwDhtE
1546320941676122112,2022-07-11_11:30:16,"日本の労働生産性低下の原因と改善策への意識を探る独自調査を実施【日本生産性本部】
#付加価値向上 #労働生産性 #アフターコロナ #ポストコロナ #生産性 #生産性向上 #ステークホルダー #ESG #SDGs
https://t.co/aIsDe8z15W",0,0,274847386,kyodonewsprwire,共同通信PRワイヤー,"共同通信PRワイヤーの公式アカウントです。ニュースのネタ「プレスリリース」を配信しています。新商品やキャンペーンなどの生活に役立つ情報や、ビジネスに関する情報もいち早くチェックできます。海外のプレスリリースの日本語訳も配信中です。
 
#プレスリリース #ニュースリリース #企業 #広報",10060,17560,2011-03-31_13:06:52,False,http://pbs.twimg.com/profile_images/1167353406085664768/ukPk-pym_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/B3qeWBf5AM
1546317086913204225,2022-07-11_11:14:57,ＥＳＧとサステナブル投資の基礎知識－目的や手法、規制をおさらい - Bloomberg https://t.co/XUiQ7wJlma,0,1,1327862748999368704,EsgAngela,Yumi,金融機関勤務/ESG・責任投資に関わる仕事をしています。レポートのネタが浮かぶよう、つぶやきます。,4922,1463,2020-11-15_15:35:36,False,http://pbs.twimg.com/profile_images/1333789288878596100/nK-AAmE0_normal.jpg,,
1546316500491206656,2022-07-11_11:12:37,独自評価!｢SDGs企業ランキング｣トップ500社 ESG＋Hの非財務情報から評価､トップはオムロン 岸本 吉浩 : 東洋経済『CSR企業総覧』編集長 – 東洋経済オンライン 2022/07/11 7:00 https://t.co/8rvuBH3VM6,0,0,853971456,clipenergy,CLIP Energy,エネルギー、経済、安全保障、外交、政治等に関する記事・論考をご紹介します。特にエネルギー関係の仕事をしている方におすすめです。自動投稿につき原則としてコメントは投稿しません。「いいね」はしませんが、賛同するコメントをリツイートさせていただくことがあります。別途、つぶやき用のアカウントを準備中です。,0,678,2012-09-30_11:39:35,False,http://pbs.twimg.com/profile_images/2665588881/9cfcd249244db9cb47236ba78904a219_normal.png,http://abs.twimg.com/images/themes/theme1/bg.png,
1546316222085885953,2022-07-11_11:11:31,"RT @kantai_aomi: 立命館×スタートアップ×ESG　大学経営に革新の種

立命館大学や上智大学などの大学で、社会的問題の解決を目指す企業を支援する「インパクト投資」を加速。
大学側も厳しい経営状況に陥る中で、ESGを意識した価値向上を模索している。
（日経新聞7/…",0,1,1327862748999368704,EsgAngela,Yumi,金融機関勤務/ESG・責任投資に関わる仕事をしています。レポートのネタが浮かぶよう、つぶやきます。,4922,1463,2020-11-15_15:35:36,False,http://pbs.twimg.com/profile_images/1333789288878596100/nK-AAmE0_normal.jpg,,
